fetchedAt,csvStamp,csvVal,rhrStamp,rhrVal,webStamp,webVal,metarStamp,metarVal,marketPrices
2026-09-07T05:45:56.265Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:46:27.971Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:46:59.123Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":86;"31°C":10;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:47:30.532Z,202609071330,28.6,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:48:01.665Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:48:33.707Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:49:05.855Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:49:37.290Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:50:09.095Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:50:40.011Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:51:10.801Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:51:42.041Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:52:13.216Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":90;"31°C":9;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:52:44.391Z,202609071340,28.5,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":0;"33°C":0;"34°C":0;"35°C or higher":0}
